id,predicted_priority_name,error_direction,second_round_tags,severity,product,component,summary,related_top1_priority,related_top3_avg_priority,related_top3_p1_rate,related_top3_p2_rate,related_top3_p3_rate,stack_exception_signal,high_impact_signal,weak_text_signal,severity_normal_or_lower,product_platform_or_jdt,component_ui_debug_core
7594,P1 Blocker,P2_to_P1_too_severe,general boundary ambiguity,normal,platform,compare,"menu entry ""replace with previous"" shouldn't have a ""...""",5.0,3.6666666666666665,0.0,0.0,0.6666666666666666,False,False,True,True,True,False
7847,P1 Blocker,P2_to_P1_too_severe,general boundary ambiguity,normal,platform,resources,there is no undo for deletion of project,5.0,3.6666666666666665,0.0,0.0,0.6666666666666666,False,False,True,True,True,False
13312,P1 Blocker,P2_to_P1_too_severe,general boundary ambiguity,major,platform,update  (deprecated - use eclipse>equinox>p2),provide better logging and tracing in core,2.0,3.3333333333333335,0.0,0.3333333333333333,0.3333333333333333,False,False,True,False,True,False
16299,P1 Blocker,P2_to_P1_too_severe,general boundary ambiguity,normal,platform,update  (deprecated - use eclipse>equinox>p2),problem with the new search wizard,2.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,False,True,True,True,False
5953,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1,major,platform,ant,ant not compiling all of the java source files in a project,3.0,3.0,0.0,0.0,1.0,True,False,False,False,True,False
9211,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1; high-impact keywords pushed to P1; related reports lean P1,major,platform,swt,gp - vm crash in kde.kmimetype_allmimetypes,5.0,2.3333333333333335,0.6666666666666666,0.0,0.0,True,True,False,False,True,False
12883,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1; high-impact keywords pushed to P1; ui/debug/core historical signal; related reports lean P1; normal severity but severe-looking text,normal,jdt,ui,npe in problem painter after deleting projects,1.0,1.0,1.0,0.0,0.0,True,True,False,True,True,True
8763,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1; normal severity but severe-looking text,normal,pde,build,problems loading pde project from repository,5.0,3.3333333333333335,0.0,0.3333333333333333,0.3333333333333333,True,False,False,True,False,False
14549,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1; related reports lean P1; normal severity but severe-looking text,normal,platform,update  (deprecated - use eclipse>equinox>p2),internal error when you click on feature updates link in update welcome,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,True,False,False,True,True,False
15681,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1; related reports lean P1; normal severity but severe-looking text,normal,platform,update  (deprecated - use eclipse>equinox>p2),internal error installing hand-rolled feature with missing feature,2.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,True,False,False,True,True,False
10610,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1; ui/debug/core historical signal,major,platform,debug,null exception when lauchviewer processing events on remove tree items,4.0,3.3333333333333335,0.3333333333333333,0.0,0.0,True,False,False,False,True,True
5589,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1; ui/debug/core historical signal; normal severity but severe-looking text,normal,jdt,debug,invalidstackframeexception updating variables,2.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,False,True,True,True
5657,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1; ui/debug/core historical signal; normal severity but severe-looking text,normal,platform,ui,[dialogs] workspace.endoperation should reset subprogress monitor,3.0,3.0,0.0,0.0,1.0,True,False,False,True,True,True
14405,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1; ui/debug/core historical signal; normal severity but severe-looking text,normal,pde,ui,widget is disposed error saving java file,3.0,3.0,0.0,0.3333333333333333,0.3333333333333333,True,False,False,True,False,True
10268,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1; ui/debug/core historical signal; related reports lean P1,major,platform,debug,incompatiblethreadstateexception when asking jdithread for stack frames.,1.0,1.6666666666666667,0.6666666666666666,0.0,0.3333333333333333,True,False,False,False,True,True
11382,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1; ui/debug/core historical signal; related reports lean P1,major,jdt,debug,null pointer exception opening prefernces for java->installed jre's,3.0,1.6666666666666667,0.6666666666666666,0.0,0.3333333333333333,True,False,False,False,True,True
15719,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1; ui/debug/core historical signal; related reports lean P1,major,jdt,core,errors during build,1.0,1.6666666666666667,0.6666666666666666,0.0,0.3333333333333333,True,False,False,False,True,True
7107,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1; ui/debug/core historical signal; related reports lean P1; normal severity but severe-looking text,normal,jdt,ui,npe in applicationwizardpage,3.0,1.6666666666666667,0.6666666666666666,0.0,0.3333333333333333,True,False,False,True,True,True
14093,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1; ui/debug/core historical signal; related reports lean P1; normal severity but severe-looking text,normal,jdt,ui,exception in search results view,3.0,1.6666666666666667,0.6666666666666666,0.0,0.3333333333333333,True,False,False,True,True,True
14506,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1; ui/debug/core historical signal; related reports lean P1; normal severity but severe-looking text,normal,jdt,ui,exception on f3 in package declaration,1.0,1.6666666666666667,0.6666666666666666,0.0,0.3333333333333333,True,False,False,True,True,True
16036,P1 Blocker,P2_to_P1_too_severe,stack/exception pushed to P1; ui/debug/core historical signal; related reports lean P1; normal severity but severe-looking text,enhancement,jdt,debug,ui not responsive when stack is deep,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,True,False,False,True,True,True
10048,P1 Blocker,P2_to_P1_too_severe,ui/debug/core historical signal,major,jdt,ui,error applying templates,2.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0,False,False,True,False,True,True
11128,P1 Blocker,P2_to_P1_too_severe,ui/debug/core historical signal,normal,jdt,debug,access to a field in a particular super-type through ijavaobject,2.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0,False,False,True,True,True,True
16558,P1 Blocker,P2_to_P1_too_severe,ui/debug/core historical signal,major,platform,ui,cannot get to hyperlink in about dialogs with keyboard,3.0,2.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,False,False,True,False,True,True
8250,P1 Blocker,P2_to_P1_too_severe,ui/debug/core historical signal; related reports lean P1,normal,jdt,debug,inspect and display actions not enabled correctly,1.0,2.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,False,False,False,True,True,True
11022,P1 Blocker,P2_to_P1_too_severe,ui/debug/core historical signal; related reports lean P1,normal,jdt,core,unexpected full build,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,False,False,True,True,True,True
14201,P1 Blocker,P2_to_P1_too_severe,ui/debug/core historical signal; related reports lean P1,major,platform,ui,accessibility : can not activate celleditor from context menu with keyboard,3.0,1.6666666666666667,0.6666666666666666,0.0,0.3333333333333333,False,False,True,False,True,True
16178,P1 Blocker,P2_to_P1_too_severe,ui/debug/core historical signal; related reports lean P1,major,platform,ui,lru working set contains removed working set,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,False,False,True,False,True,True
3821,P3 Major,P2_to_P3_too_light,missing obvious high-impact text; related reports lean P3; platform/jdt boundary case,major,jdt,ui,refactoring - variable extraction can lead to incorrect code (1gewdnw),3.0,3.3333333333333335,0.0,0.0,0.6666666666666666,False,False,True,False,True,True
2413,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; missing obvious high-impact text; related reports lean P3; platform/jdt boundary case,normal,platform,ui,[ui] sub categories are ignored in customize .. new wizards (1gf0nic),3.0,2.3333333333333335,0.3333333333333333,0.0,0.6666666666666666,False,False,True,True,True,True
2789,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; missing obvious high-impact text; related reports lean P3; platform/jdt boundary case,normal,platform,ui,[jface] deutsch: font styles shown in english (1gjjaqi),3.0,3.3333333333333335,0.0,0.0,0.6666666666666666,False,False,True,True,True,True
3054,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; missing obvious high-impact text; related reports lean P3; platform/jdt boundary case,normal,platform,ant,javadoc: ant javadoc needs review (1gf64t1),5.0,3.6666666666666665,0.0,0.0,0.6666666666666666,False,False,True,True,True,False
3194,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; missing obvious high-impact text; related reports lean P3; platform/jdt boundary case,normal,jdt,core,dcr - jm - buffer contents is duplicated (1g03hcp),3.0,2.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,False,False,True,True,True,True
3220,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; missing obvious high-impact text; related reports lean P3; platform/jdt boundary case,normal,jdt,core,formatter tests refer to hardcoded path on disk (1g9r5g4),3.0,3.0,0.0,0.0,1.0,False,False,True,True,True,True
3299,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; missing obvious high-impact text; related reports lean P3; platform/jdt boundary case,normal,jdt,core,autobuild produces errors when renaming source folders (1geymne),3.0,3.3333333333333335,0.0,0.0,0.6666666666666666,False,False,True,True,True,True
3440,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; missing obvious high-impact text; related reports lean P3; platform/jdt boundary case,normal,jdt,core,classfile comparator should be able to ignore order (1gl2i7e),3.0,2.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,False,False,True,True,True,True
5003,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; missing obvious high-impact text; related reports lean P3; platform/jdt boundary case,normal,jdt,core,review javabuilder cancelation handling,3.0,3.0,0.0,0.0,1.0,False,False,True,True,True,True
7710,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; missing obvious high-impact text; related reports lean P3; platform/jdt boundary case,normal,platform,user assistance,file->print should be enabled in help perspective,3.0,3.0,0.0,0.0,1.0,False,False,True,True,True,False
1639,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; platform/jdt boundary case,enhancement,jdt,debug,run-in package can't be deleted (1gf7rqy),2.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,False,False,True,True,True
1592,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; related reports lean P3; install/update wording is ambiguous; platform/jdt boundary case,minor,platform,debug,debugplugin must allow for null elements in updatehistory() (1gei3c1),3.0,3.6666666666666665,0.0,0.0,0.6666666666666666,False,False,False,True,True,True
1864,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; related reports lean P3; install/update wording is ambiguous; platform/jdt boundary case,enhancement,platform,ui,[prefereces] preference to restart in fresh state (1g7hzja),3.0,2.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,False,False,False,True,True,True
3372,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; related reports lean P3; install/update wording is ambiguous; platform/jdt boundary case,normal,jdt,core,markers for build path not updated on (re-) build (1gjy69s),3.0,3.0,0.0,0.0,1.0,False,False,False,True,True,True
2915,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; related reports lean P3; platform/jdt boundary case,normal,platform,ui,exception on d'n'd move in the navigator (1gla4k7),3.0,2.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,True,False,False,True,True,True
3245,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; related reports lean P3; platform/jdt boundary case,normal,jdt,core,sub folders with dot not visible in packages view (1gcoh17),3.0,3.0,0.0,0.0,1.0,True,False,False,True,True,True
3348,P3 Major,P2_to_P3_too_light,normal/lower severity pulled to P3; related reports lean P3; platform/jdt boundary case,normal,jdt,ui,dcr: code formatter enhancement (1giyhqr),3.0,3.0,0.0,0.0,1.0,False,True,False,True,True,True
